Meme ID,Literary Author,Caption Text,Humor Type,Themes/Motifs,Date Posted,Likes,Comments,Shares,Cleaned Caption Text
Instagram,Shakespeare,To be or not to be...,Satirical,Existential Dilemma,1/1/2024,54,0,0,to be or not to be...
Instagram,Jane Austen,A jane Austen's heroine's to do list...,Ironic,Courtship and Marriage,1/5/2024,1989,4,0,a jane austen's heroine's to do list...
Facebook,George Orwell,"Last year, I went on a date...",Satirical,Individualism vs. Societal Expectations,1/10/2024,3100,310,590,"last year, i went on a date..."
Instagram,Homer,You want me to think?...Patroclus,Ironic,Journey,1/15/2024,9912,21,0,you want me to think?...patroclus
Facebook,J.K. Rowling,Expecto Patronum!,Parodic,Heroism and Protection,1/20/2024,1603,3,6,expecto patronum!
Facebook,William Blake,He whose face gives no light...,Philosophical,Self-doubt,1/25/2024,74,0,17,he whose face gives no light...
Facebook,Emily Dickinson,I am out with lanterns...,Philosophical,Self-Discovery,1/30/2024,138,6,37,i am out with lanterns...
Instagram,Mark Twain,It's easier to fool people...,Critical,Social Critique,2/1/2024,57,0,0,it's easier to fool people...
Facebook,Earnest Hemingway,But never think that war...,Philosophical,War and Morality,2/5/2024,2100,157,823,but never think that war...
Instagram,Shakespeare,Lady Macbeth: You’ve gotta kill Duncan...,Critical,Ambition,2/10/2024,5178,4,0,lady macbeth: you’ve gotta kill duncan...
Facebook,Frida Kahlo,You deserve a lover who...,Satirical,Transformation,2/15/2024,25000,402,4600,you deserve a lover who...
Instagram,Virginia Woolf,There are two wolves inside you...,Philosophical,Duality,2/20/2024,133547,10,0,there are two wolves inside you...
Facebook,George Burnerd Shaw,Progress is impossible without change...,Philosophical,Change and Growth,3/1/2024,3800,57,1400,progress is impossible without change...
Facebook,Albert Camus,"As for myself, I had a lot to say...",Ironic,Conflict,3/5/2024,540,12,109,"as for myself, i had a lot to say..."
Facebook,Oscar Wilde,Humanity takes itself too seriously...,Parodic,The Human Condition,3/10/2024,107,11,26,humanity takes itself too seriously...
Instagram,F. Scott Fitzgerald,Where does one begin?... Fitzgerald's masterpiece...,Critical,Disillusionment and Societal Decay,3/15/2024,37,3,0,where does one begin?... fitzgerald's masterpiece...
Facebook,George Eliot,It is never too late to be...,Ironic,Redemption,3/20/2024,86,1,21,it is never too late to be...
Facebook,Mary Shelley,Solitude was my only consolation...,Satirical,Isolation,3/25/2024,0,0,1,solitude was my only consolation...
Instagram,Gabriel Garc a M rquez,One Hundred Years of Solitude?...dating life,Parodic,Isolation and Connection,3/30/2024,54,5,0,one hundred years of solitude?...dating life
